Date,CHDVD.SW,ZURN.SW,ROP.SW,NOVN.SW,NESN.SW,HOLN.SW,SREN.SW,SLHN.SW,SIKA.SW,HBAN.SW,GIVN.SW
2014-04-28,58.9427375793457,126.2549819946289,171.53207397460938,39.22783660888672,46.98911285400391,47.96220779418945,35.4743766784668,130.9833221435547,48.9371337890625,52.13405227661133,1046.763671875
2014-04-29,58.81895065307617,127.25662231445312,172.682373046875,39.75192260742188,47.2694206237793,49.23715972900391,35.82606887817383,132.26869201660156,48.99242782592773,52.40559005737305,1045.2520751953125
2014-04-30,59.05473327636719,126.2549819946289,174.5770263671875,39.98776626586914,47.61982345581055,48.933589935302734,36.037086486816406,132.3298797607422,49.19978713989258,52.79779052734375,1048.2752685546875
2014-05-02,59.05473327636719,125.95449829101562,172.3440704345703,40.2760124206543,47.44462203979492,48.34737396240234,35.84951400756836,131.962646484375,49.6145133972168,53.22018051147461,1047.51953125
2014-05-05,58.966285705566406,126.1047592163086,171.19374084472656,40.32841491699219,47.47966384887695,48.34737396240234,35.87296295166016,131.77903747558594,50.01541519165039,52.646949768066406,1042.98486328125
2014-05-06,58.87200927734375,126.35515594482422,170.51707458496094,40.38082885742188,47.47966384887695,47.42177200317383,36.10742950439453,131.53419494628906,50.31953430175781,52.646949768066406,1052.8099365234375
2014-05-07,58.97220230102539,126.75580596923828,170.4494171142578,40.433231353759766,48.25055694580078,46.8355598449707,36.27155685424805,131.65663146972656,49.44862365722656,52.586612701416016,1053.565673828125
2014-05-08,59.16083526611328,128.25823974609375,171.73507690429688,40.74768829345703,48.04030990600586,47.36006927490234,36.64669418334961,132.02386474609375,48.868011474609375,52.52626419067383,1066.4141845703125
2014-05-09,59.57936096191406,128.6088104248047,173.2913818359375,41.166954040527344,48.42575073242188,47.54519271850586,36.71703720092773,133.003173828125,48.964786529541016,52.04355239868164,1073.9718017578125
2014-05-12,60.115684509277344,128.6088104248047,173.08836364746094,41.24557113647461,48.91632080078125,48.77932357788086,36.810821533203125,133.67645263671875,49.40714645385742,52.55643844604492,1088.33203125
2014-05-13,60.19233703613281,129.20977783203125,174.17100524902344,41.27177810668945,48.81120681762695,48.5633544921875,36.670143127441406,128.657470703125,49.86333847045898,51.5306510925293,1089.0875244140625
2014-05-14,60.54598236083984,129.20977783203125,177.75730895996094,41.7696533203125,49.16160202026367,48.409088134765625,36.6935920715332,127.8005828857422,49.821868896484375,51.22895050048828,1084.552978515625
2014-05-15,60.60490798950195,129.9610137939453,179.990234375,41.900672912597656,49.82736587524414,47.39093399047852,36.38878631591797,124.0057144165039,47.872676849365234,50.59537506103516,1092.11083984375
2014-05-16,60.62849807739258,131.6637725830078,182.22320556640625,42.031700134277344,50.107688903808594,47.26750183105469,36.71703720092773,123.69969940185548,47.416481018066406,49.66010284423828,1086.8204345703125
2014-05-19,60.47471237182617,132.06442260742188,181.6819000244141,41.7696533203125,49.61712646484375,47.66860580444336,36.64669418334961,124.74022674560548,47.416481018066406,49.05669784545898,1084.552978515625
2014-05-20,60.44512939453125,132.3649139404297,180.0579376220703,41.6124267578125,49.44192123413086,48.25481796264648,36.74047470092773,127.2497100830078,48.89566421508789,49.47908401489258,1083.0411376953125
2014-05-21,60.53981018066406,132.86570739746094,179.990234375,41.979286193847656,49.40688705444336,48.3165283203125,37.0452880859375,127.4945297241211,49.10303115844727,50.35401916503906,1083.0411376953125
2014-05-22,60.84143829345703,133.21629333496094,181.6819000244141,42.136512756347656,49.266727447509766,49.026153564453125,37.18596267700195,127.9229736328125,49.10303115844727,50.444522857666016,1103.4476318359375
2014-05-23,60.84143829345703,133.11611938476562,181.61422729492188,42.293739318847656,49.05648422241211,48.77932357788086,37.20940780639648,128.1066131591797,49.07537841796875,50.92724990844727,1100.4244384765625
2014-05-26,60.95380783081055,133.21629333496094,180.9375762939453,42.37235641479492,48.951358795166016,48.87188720703125,37.25629806518555,129.4531707763672,49.36568069458008,51.25910568237305,1096.6455078125
2014-05-27,60.930171966552734,133.51678466796875,180.19325256347656,42.450965881347656,48.741119384765625,49.180423736572266,37.49076843261719,131.04454040527344,49.821868896484375,51.47031784057617,1101.93603515625
2014-05-28,60.95974349975586,133.56686401367188,179.51657104492188,42.34615707397461,49.02144241333008,49.087867736816406,37.42042922973633,131.5954132080078,49.808048248291016,51.62116622924805,1107.2264404296875
2014-05-30,60.75863265991211,134.56849670410156,178.29861450195312,42.084110260009766,49.23168182373047,48.47079849243164,37.35009002685547,131.77903747558594,49.061553955078125,51.50048065185547,1109.4937744140625
2014-06-02,60.88285827636719,133.96751403808594,181.61422729492188,41.79585647583008,49.19664764404297,48.53250503540039,37.32663345336914,131.5954132080078,49.51774215698242,51.95303726196289,1104.959228515625
