Date,Close,High,Low,Open,Volume
2014-04-28,171.53207397460938,174.37403375603245,171.53207397460938,172.68238562069416,1017632
2014-04-29,172.682373046875,173.76501497173635,171.80271938453092,172.2763861969034,1119935
2014-04-30,174.5770263671875,175.45666979048258,173.1560464412003,173.29138572934235,1160257
2014-05-02,172.3440704345703,174.57703456963475,171.87041387863263,174.57703456963475,1310172
2014-05-05,171.19374084472656,172.75004964466612,169.7051016849773,172.54705104903272,913369
2014-05-06,170.51707458496094,171.6673861183642,169.8404195270841,171.6673861183642,826016
2014-05-07,170.4494171142578,171.5997390546969,169.50210409559477,169.50210409559477,1134850
2014-05-08,171.73507690429688,171.73507690429688,170.38176662187522,171.59974794104232,1067833
2014-05-09,173.2913818359375,173.2913818359375,170.58476133291583,170.92308889579354,1102305
2014-05-12,173.08836364746094,173.76500837171298,171.73505354908352,173.6973593866928,1206584
2014-05-13,174.17100524902344,174.71234167742136,172.41170831894505,174.23867488380733,1179119
2014-05-14,177.75730895996094,178.0956365212476,174.84767954297033,175.25367674648945,1420838
2014-05-15,179.990234375,180.59921975982817,177.75728108067264,177.96026932565792,1662972
2014-05-16,182.22320556640625,182.22320556640625,179.990252052769,181.1405739536575,2514305
2014-05-19,181.68190002441406,182.6968827061147,180.26092014005806,181.5465607402371,1214954
2014-05-20,180.0579376220703,181.74957547900468,179.78727969493605,180.73459276484405,836703
2014-05-21,179.990234375,180.8022286546858,179.31357935855266,179.9225647433808,703068
2014-05-22,181.68190002441406,182.02022758498094,178.43396370292223,179.78727394518975,1229851
2014-05-23,181.61422729492188,182.35855204549077,180.66691427141384,181.88488520879915,723337
2014-05-26,180.9375762939453,181.34357349891803,180.05793289140084,181.34357349891803,506131
2014-05-27,180.19325256347656,181.00524697809496,178.8399423056964,180.9375773352308,870343
2014-05-28,179.51657104492188,179.85489855963138,179.11059454716863,179.51657104492188,702608
2014-05-30,178.29861450195312,179.8549129340508,178.29861450195312,179.8549129340508,1270656
2014-06-02,181.61422729492188,182.02022449067536,178.8399372154607,180.1255984436593,1405057
2014-06-03,180.80227661132812,181.88490840490718,180.12562141540232,181.81725940521684,813891
2014-06-04,181.41122436523438,182.15554905566708,180.6668996748017,181.0052272022826,1107712
2014-06-05,181.61422729492188,182.69687960030615,181.47890866292084,181.88488520879915,1145766
2014-06-06,180.80227661132812,181.68192010608055,179.99028211626603,181.54658080694426,1153465
2014-06-10,184.38851928710938,184.38851928710938,182.29088429551948,182.69688149548452,1772971
2014-06-11,182.96755981445312,185.13286468913117,182.6969018675878,184.65919779470858,1189870
2014-06-12,181.95252990722656,183.10285169585993,181.20820525869158,182.4261966789867,852156
2014-06-13,180.19325256347656,181.41124418540414,178.43396574826298,181.07291662095912,1300497
2014-06-16,180.1256103515625,180.53158692427948,179.51660419273398,179.85493176991582,1108660
2014-06-17,179.990234375,180.53155012820898,178.97525185032896,180.53155012820898,958852
2014-06-18,179.31362915039062,180.86992786042393,178.83996224740065,179.922614704322,1499950
2014-06-19,180.2609100341797,180.46391894906395,179.3135970476763,180.3962493107692,1080449
2014-06-20,182.0202178955078,182.83221225759368,180.12559191714004,180.93756562935147,2429780
2014-06-23,179.31362915039062,181.34359476341393,178.02798839211815,181.34359476341393,1061925
2014-06-24,178.9752655029297,179.65192057099367,178.29861043486568,179.31359303696166,868320
2014-06-25,176.94532775878906,178.50162639690785,176.5393305249694,178.0279801656825,1256685
2014-06-26,176.67466735839844,178.09564733203405,176.26867013023443,176.6069977120583,1252638
2014-06-27,178.1632843017578,178.63695114428754,176.539316148603,177.28364090834597,803936
2014-06-30,178.9752655029297,179.71959020777487,178.09562217439603,178.43394970842803,1171944
2014-07-01,178.77227783203125,179.58425152646151,178.36628065987912,178.77227783203125,939035
2014-07-02,178.29861450195312,180.19324047580022,177.62195941845425,178.975269585452,954366
2014-07-03,181.61422729492188,181.81723621773622,177.82495455101457,178.09563311476703,1142089
2014-07-04,181.3435516357422,182.02020667915914,180.86988484540106,181.14056338266636,519893
2014-07-07,181.14059448242188,181.88489863807047,180.463939322831,180.80226690262646,716272
2014-07-08,180.5992431640625,181.7495651010446,180.5992431640625,181.3435679085877,818746
2014-07-09,179.65196228027344,180.80228442299878,178.36632148244308,180.80228442299878,655548
2014-07-10,177.4189910888672,179.85493314327587,176.9453242172451,179.3136172756021,979542
2014-07-11,177.75730895996094,178.16328551360448,176.2686594303494,177.41898139867428,753850
2014-07-14,180.0579376220703,181.3435782633652,178.02797219374904,178.7046273365228,785919
2014-07-15,181.3435516357422,182.15554594779178,179.245916871175,179.31358650549134,897240
2014-07-16,180.2609100341797,183.03520000526956,179.65192458927567,182.49388419866028,1083766
2014-07-17,178.63694763183594,181.00524049816707,178.50160835095272,179.04294482461054,901985
2014-07-18,177.48660278320312,178.77226383600987,177.41895380136899,178.2985970639366,980486
2014-07-21,178.1632843017578,179.178266978714,177.0806526329049,177.41898019189028,807877
2014-07-22,179.990234375,180.3962315148429,178.43393609712,179.17824009531424,658943
2014-07-23,180.32861328125,180.80228018771865,179.0429725135357,179.31363046728424,812380
2014-07-24,181.47891235351562,183.77953564307114,181.14058479181992,182.69688331566985,2253365
2014-07-25,180.66688537597656,181.4788796376151,179.78724213409473,181.4112100074999,913262
2014-07-28,179.65196228027344,180.9376030781038,179.04297670760417,180.59927546552325,655117
2014-07-29,179.85491943359375,180.9375717362914,179.65193116115833,180.32858626910996,1487869
2014-07-30,180.46392822265625,181.54655989150854,179.6519338211416,179.99026138012678,906656
2014-07-31,179.11062622070312,181.34357995270756,178.90761728605412,179.990269654553,1201258
2014-08-04,179.11062622070312,179.11062622070312,179.11062622070312,179.11062622070312,0
2014-08-05,178.1632843017578,179.58426417947155,176.74232507391952,177.2159712665738,978527
2014-08-06,176.40399169921875,177.5542929719205,174.64468432052075,177.21596542408915,1194280
2014-08-07,175.05067443847656,175.79497849374704,174.37401937014053,174.91533516485978,1109470
2014-08-08,174.71238708496094,176.0656975328696,171.59976892479526,173.69740424902943,1703535
2014-08-11,175.5919952392578,176.53930823196097,175.11832841796897,175.79498350559618,757608
2014-08-12,175.18601989746094,175.93034471662207,174.84769231146745,175.7273564249768,739127
2014-08-13,176.2686767578125,176.2686767578125,174.84769673074905,175.79500986549883,654202
2014-08-14,177.62196350097656,178.02796069038232,175.25367065429685,175.32134029417696,1190063
2014-08-15,175.8626708984375,179.31361632369908,175.8626708984375,179.042958391299,1004541
2014-08-18,178.0956573486328,178.6369732500454,176.94533524578358,177.41900214692808,780908
2014-08-19,179.58428955078125,179.65195920211366,177.96032116819546,178.09566047086025,722366
2014-08-20,179.65196228027344,180.6669451180151,179.44897397267658,179.65196228027344,798740
2014-08-21,179.85491943359375,180.66691382308576,179.44894288872288,179.99025871513413,808852
2014-08-22,179.92259216308594,180.19325008093796,178.77229084974607,179.65193424523395,676092
2014-08-25,181.14059448242188,181.27591312441402,180.1256117430356,180.3962696768966,747657
2014-08-26,182.2908935546875,182.49390248991924,180.59925567713867,181.20824118308096,886113
2014-08-27,181.47891235351562,182.08789783459272,180.19325109917153,181.8172399152113,1240160
2014-08-28,180.7345733642578,181.47889807138614,179.24592395000113,181.14057053631635,1197107
2014-08-29,181.14059448242188,181.7495799960783,179.78728416324017,181.07292483648746,975342
2014-09-01,182.22320556640625,182.29087520467164,180.59923749740878,181.27589258031392,915735
2014-09-02,181.95252990722656,182.56151529243795,181.00521701357854,182.56151529243795,1003045
2014-09-03,182.7645721435547,183.9825432335645,181.95257765029632,182.22323559808984,1153271
2014-09-04,182.89987182617188,183.3735386731006,181.95255878219,182.42622562911873,1220627
2014-09-05,182.22320556640625,182.56153310785882,181.00523467712674,182.35854484293702,1056116
2014-09-08,183.3058624267578,183.3735320667205,181.9525522270034,182.49388869683008,901002
2014-09-09,183.779541015625,183.91485965433378,182.62921901228128,183.03521622816,880703
2014-09-10,183.84719848632812,184.05018675588835,182.9675344685258,183.57651992708136,752467
2014-09-11,186.2831573486328,186.62148492874283,183.84721529174195,184.05020357985728,1494222
2014-09-12,185.87716674804688,186.4184825754302,184.99750271620508,186.2831432936468,863750
2014-09-15,186.62149047851562,186.9598180686869,184.86220352952694,185.53885870986946,1093988
2014-09-16,187.77178955078125,187.83945919050424,186.2831400763747,186.95979517385499,1089915
2014-09-17,190.00474548339844,190.14008476453319,188.042449806195,188.31310771858944,1608326
2014-09-18,191.69638061523438,192.03470816354923,189.66641532534538,190.2754214322119,1573878
2014-09-19,191.6287384033203,192.84670936038304,190.81674399869482,192.84670936038304,2772912
2014-09-22,191.6287384033203,192.10238459778893,190.20775852016345,191.01973227491342,1173498
2014-09-23,190.9520721435547,191.89938512710586,189.59876198137465,191.6287272246447,1379048
2014-09-24,192.03469848632812,192.10236812255596,190.95206690617763,191.22272480121524,1179077
