Date,Close,High,Low,Open,Volume
2014-04-28,1046.763671875,1061.1236067238267,1044.4963137409748,1052.0541741877257,19591
2014-04-29,1045.2520751953125,1053.5657214911537,1045.2520751953125,1053.5657214911537,22433
2014-04-30,1048.2752685546875,1049.786840679496,1045.2521243050705,1046.0079103674748,23879
2014-05-02,1047.51953125,1054.3216061282467,1043.740600762085,1047.51953125,26584
2014-05-05,1042.98486328125,1052.0542968749999,1038.450146484375,1049.7869384765625,12104
2014-05-06,1052.8099365234375,1055.0772946064026,1040.7173600809572,1042.9847181639223,26266
2014-05-07,1053.565673828125,1061.123533755156,1044.4962419156877,1044.4962419156877,29373
2014-05-08,1066.4141845703125,1066.4141845703125,1056.5889652936194,1058.1005374900337,32467
2014-05-09,1073.9718017578125,1076.2391595377374,1066.4139424913958,1070.9486580512457,27037
2014-05-12,1088.33203125,1092.1109619140625,1072.4605224609375,1076.9952392578125,29051
2014-05-13,1089.0875244140625,1093.6222399910816,1083.7970229075404,1093.6222399910816,21479
2014-05-14,1084.552978515625,1090.5992668975937,1081.5298343246407,1088.3319087543555,17389
2014-05-15,1092.11083984375,1093.6224119404196,1079.2624770220589,1083.0414072637327,31370
2014-05-16,1086.8204345703125,1095.1340818444944,1085.3088623386432,1093.6225096128248,32368
2014-05-19,1084.552978515625,1089.8434808498475,1081.5298343246407,1083.7971924678789,15766
2014-05-20,1083.0411376953125,1088.331638716853,1077.7506366737723,1083.0411376953125,14822
2014-05-21,1083.0411376953125,1086.8200669964128,1079.2622083942124,1080.0179942544323,18889
2014-05-22,1103.4476318359375,1106.4707760327483,1088.3319108518835,1089.843482950289,21614
2014-05-23,1100.4244384765625,1110.249656677246,1090.599220275879,1110.249656677246,20708
2014-05-26,1096.6455078125,1100.4244378876635,1089.8434336772054,1093.622363752369,15868
2014-05-27,1101.93603515625,1107.2265373826517,1091.3550307034466,1094.378174832819,17142
2014-05-28,1107.2264404296875,1109.4937983281784,1098.912794801888,1102.691724632706,19480
2014-05-30,1109.4937744140625,1114.0284901133025,1106.4706306145692,1111.0053463138092,28219
2014-06-02,1104.959228515625,1117.0518055718835,1095.134009657415,1117.0518055718835,26076
2014-06-03,1102.69189453125,1105.715038861699,1098.1571780355766,1101.1803223660256,16846
2014-06-04,1103.4476318359375,1105.7149899835456,1097.401343442316,1104.959203934343,38338
2014-06-05,1100.4244384765625,1105.7149405846228,1097.4012944148137,1098.912866445688,29031
2014-06-06,1105.7149658203125,1106.470751852999,1096.6455334280747,1104.2033937549395,12030
2014-06-10,1115.540283203125,1130.6560051977474,1102.6919195076962,1102.6919195076962,23726
2014-06-11,1109.4937744140625,1119.3189917624159,1107.9822025143158,1116.2958479629226,17283
