Date,Close,High,Low,Open,Volume
2014-04-28,211.64869689941406,215.5068762699763,209.26030014620886,213.66964799828,25174
2014-04-29,208.7091522216797,211.46499490066313,207.23936945955518,211.28127205539755,29010
2014-04-30,210.17892456054688,211.0975387413185,207.974250526695,208.8928647074666,25965
2014-05-02,216.79295349121094,216.79295349121094,211.2812682329598,212.93477381043516,35026
2014-05-05,215.5069122314453,216.97669509406387,213.48596079534482,216.79297223623655,14796
2014-05-06,218.2627410888672,218.44646393490157,216.05806693645437,216.24178978248878,22067
2014-05-07,218.2627410888672,218.2627410888672,215.87434409041998,218.07901824283277,25770
2014-05-08,216.24180603027344,218.26275748850028,215.690637450757,217.52786604914508,11382
2014-05-09,217.895263671875,217.895263671875,214.0370844668924,217.895263671875,58267
2014-05-12,219.54876708984375,219.73248990749215,217.7115389133597,218.99759863689854,11391
2014-05-13,217.895263671875,219.73249186472387,217.34409521402034,219.54876904543897,9901
2014-05-14,219.1813507080078,219.9162420766851,217.52784512848385,219.9162420766851,8275
2014-05-15,214.95570373535156,219.18132868057643,214.40453526423528,218.2627145620493,15046
2014-05-16,211.4650115966797,214.95574593233295,209.4440601391962,214.95574593233295,11525
2014-05-19,211.64869689941406,213.85337082544962,208.34168601036072,212.3835882080926,14737
2014-05-20,210.73008728027344,213.85337540910052,209.99519595584354,211.64870143581084,9466
2014-05-21,210.54638671875,212.1998923736093,209.44404961551047,210.7301095692899,8814
2014-05-22,216.0580596923828,216.97667389175518,210.73009733602305,210.73009733602305,13577
2014-05-23,216.6092529296875,218.81392725976065,215.32319290381147,215.69063862549035,12579
2014-05-26,216.79295349121094,217.34412201703606,215.6906164395607,215.87433928150242,7204
2014-05-27,215.13943481445312,216.42549462974023,214.40454349143195,215.87432613747433,9133
2014-05-28,217.34410095214844,217.89526942455456,214.22081294184704,215.13942706252394,13194
2014-05-30,217.71156311035156,217.89528594841937,215.13944337740227,217.89528594841937,9937
2014-06-02,216.6092529296875,218.26275867724237,215.69063862549035,217.8953129555635,9566
2014-06-03,213.85337829589844,217.3441121340617,213.11848696154826,217.3441121340617,9033
2014-06-04,216.79295349121094,218.99762759451139,214.5882793879105,214.5882793879105,10210
2014-06-05,218.07901000976562,220.46740691804445,216.2417816187819,217.7115643315689,16163
2014-06-06,222.85581970214844,223.40698825870777,218.99763980623325,219.36508551060615,28758
2014-06-10,221.9372100830078,224.14188435535556,220.46742723477598,222.12093293903678,12882
2014-06-11,220.0999755859375,222.30464979881833,219.18136133057047,221.38603554345133,18013
2014-06-12,223.5906982421875,223.5906982421875,219.54879572671655,220.46740993477815,17765
2014-06-13,221.20230102539062,223.40697512198918,218.63018124602561,222.85580659783955,12819
2014-06-16,221.01856994628906,222.67207545710917,218.9976187663978,219.5487872700045,47586
2014-06-17,220.65110778808594,222.30461317534053,219.54877086324953,219.91621650486167,26040
2014-06-18,229.28610229492188,232.40939054733667,221.0185745679415,221.0185745679415,39884
2014-06-19,230.9396514892578,232.9606030933802,229.65359137754356,231.12337436235987,21663
2014-06-20,228.91867065429688,230.3884534514352,227.26516500751623,230.3884534514352,16916
2014-06-23,227.81634521484375,230.0210195233745,226.8977309196226,228.91868236910912,12742
2014-06-24,224.8767547607422,229.10238005444893,224.69303192188536,229.10238005444893,13882
2014-06-25,221.7534637451172,224.69302913030515,221.20229523539444,224.69302913030515,13606
2014-06-26,220.4674072265625,223.03952697753905,219.1813473510742,222.1209127807617,17834
2014-06-27,220.65110778808594,222.30461317534053,219.36504804244348,221.75344471292235,8716
2014-06-30,223.77439880371094,224.50929009699075,219.7324966906718,221.38600210055145,21969
2014-07-01,221.20230102539062,224.6930350116717,221.2023010253906,224.6930350116717,6894
2014-07-02,222.12091064453125,224.32558469559362,220.83485078141157,224.32558469559362,11821
2014-07-03,225.79534912109375,226.16279476653085,222.67206113487848,222.67206113487848,8134
